date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:08	98024/98024	---M--	200	added ('OK')	font/woff	date:Tue,%2021%20Jan%202020%2012:55:05%20GMT	http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from http://bunagcorteslaw.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
13:46:08	2465/2465	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2005:46:06%20GMT	http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/?C=N;O=D	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/indexc052.html	(from http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/)
13:46:09	284/284	---M--	200	added ('OK')	text/plain	date:Tue,%2021%20Jan%202020%2012:55:12%20GMT	http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/installation.txt	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/installation.txt	(from http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/)
13:46:10	2465/2465	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2005:46:09%20GMT	http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/?C=M;O=A	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/indexf8a0.html	(from http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/)
13:46:12	5914/5914	---M--	200	added ('OK')	text/plain	date:Tue,%2021%20Jan%202020%2012:55:12%20GMT	http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/readme.txt	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/readme.txt	(from http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/)
13:46:13	10362/10362	---M--	200	added ('OK')	text/plain	date:Tue,%2021%20Jan%202020%2012:55:12%20GMT	http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/log.txt	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/log.txt	(from http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/)
13:46:13	14/14	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2005:46:12%20GMT	http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/wp-stats-manager.php	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/wp-stats-manager.html	(from http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/)
13:46:13	2465/2465	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2005:46:13%20GMT	http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/?C=S;O=A	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/indexbfec.html	(from http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/)
13:46:15	2465/2465	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2005:46:14%20GMT	http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/?C=D;O=A	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/index30b5.html	(from http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/)
13:46:16	0/0	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Feb%202020%2005:46:14%20GMT	http://bunagcorteslaw.com/wp-content/plugins/	/Users/francis/websites/bcslaw/bunagcorteslaw.com/wp-content/plugins/index.html	(from http://bunagcorteslaw.com/wp-content/plugins/wp-stats-manager/)
